student_id,name,prn,fee_status,attendance_percentage,avgMarks,sem1_att,sem2_att,sem3_att,sem4_att,sem5_att,sem6_att,sem1_cgpa,sem2_cgpa,sem3_cgpa,sem4_cgpa,sem5_cgpa,sem6_cgpa,credits,wellbeing,subjects_json
2023025110,Student 2023025110,2023025110,Paid,94,84.0,99,91,94,98,93,97,9.01,8.61,9.31,9.09,8.63,9.42,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 85}, {""subject"": ""Computer Networks"", ""score"": 79}, {""subject"": ""DBMS"", ""score"": 92}, {""subject"": ""Automata Theory"", ""score"": 80}]"
2023025111,Student 2023025111,2023025111,Paid,92,83.5,91,96,90,87,88,87,8.94,8.69,8.64,9.21,8.92,9.45,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 81}, {""subject"": ""Computer Networks"", ""score"": 76}, {""subject"": ""DBMS"", ""score"": 93}, {""subject"": ""Automata Theory"", ""score"": 84}]"
2023025112,Student 2023025112,2023025112,Paid,88,86.2,84,90,93,86,92,89,8.98,9.5,9.28,9.23,8.77,9.2,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 100}, {""subject"": ""Computer Networks"", ""score"": 92}, {""subject"": ""DBMS"", ""score"": 78}, {""subject"": ""Automata Theory"", ""score"": 75}]"
2023025113,Student 2023025113,2023025113,Paid,93,86.0,91,95,95,88,91,98,8.87,8.81,8.59,8.65,8.61,9.04,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 90}, {""subject"": ""Computer Networks"", ""score"": 79}, {""subject"": ""DBMS"", ""score"": 97}, {""subject"": ""Automata Theory"", ""score"": 78}]"
2023025114,Student 2023025114,2023025114,Paid,86,88.2,91,86,91,89,87,87,9.11,9.41,8.72,9.16,9.44,8.51,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 93}, {""subject"": ""Computer Networks"", ""score"": 90}, {""subject"": ""DBMS"", ""score"": 95}, {""subject"": ""Automata Theory"", ""score"": 75}]"
2023025115,Student 2023025115,2023025115,Paid,88,88.8,85,86,83,84,88,88,8.91,9.26,8.55,8.56,9.2,9.47,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 91}, {""subject"": ""Computer Networks"", ""score"": 100}, {""subject"": ""DBMS"", ""score"": 81}, {""subject"": ""Automata Theory"", ""score"": 83}]"
2023025116,Student 2023025116,2023025116,Paid,98,89.2,93,100,100,98,100,94,8.86,9.24,9.02,8.96,8.67,9.43,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 86}, {""subject"": ""Computer Networks"", ""score"": 87}, {""subject"": ""DBMS"", ""score"": 95}, {""subject"": ""Automata Theory"", ""score"": 89}]"
2023025117,Student 2023025117,2023025117,Paid,96,92.8,95,93,92,93,92,94,8.94,9.41,8.57,8.95,8.93,9.44,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 84}, {""subject"": ""Computer Networks"", ""score"": 96}, {""subject"": ""DBMS"", ""score"": 93}, {""subject"": ""Automata Theory"", ""score"": 98}]"
2023025118,Student 2023025118,2023025118,Paid,85,83.5,85,87,86,81,83,88,9.36,8.74,8.57,9.11,9.26,9.45,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 83}, {""subject"": ""Computer Networks"", ""score"": 88}, {""subject"": ""DBMS"", ""score"": 76}, {""subject"": ""Automata Theory"", ""score"": 87}]"
2023025119,Student 2023025119,2023025119,Paid,92,88.5,91,95,95,90,91,89,9.31,9.27,8.83,8.99,8.63,8.6,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 97}, {""subject"": ""Computer Networks"", ""score"": 81}, {""subject"": ""DBMS"", ""score"": 98}, {""subject"": ""Automata Theory"", ""score"": 78}]"
2023025120,Student 2023025120,2023025120,Paid,93,83.2,93,95,92,90,90,95,8.73,8.92,8.53,9.03,9.02,9.4,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 83}, {""subject"": ""Computer Networks"", ""score"": 75}, {""subject"": ""DBMS"", ""score"": 96}, {""subject"": ""Automata Theory"", ""score"": 79}]"
2023025121,Student 2023025121,2023025121,Paid,90,92.8,93,87,92,91,86,92,8.58,9.26,9.0,8.85,8.87,9.22,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 98}, {""subject"": ""Computer Networks"", ""score"": 95}, {""subject"": ""DBMS"", ""score"": 95}, {""subject"": ""Automata Theory"", ""score"": 83}]"
2023025122,Student 2023025122,2023025122,Paid,94,91.0,99,89,95,91,94,97,8.88,8.99,8.87,9.04,9.17,8.81,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 96}, {""subject"": ""Computer Networks"", ""score"": 97}, {""subject"": ""DBMS"", ""score"": 88}, {""subject"": ""Automata Theory"", ""score"": 83}]"
2023025123,Student 2023025123,2023025123,Paid,93,90.5,97,92,90,91,96,95,9.29,8.7,8.54,8.75,8.82,8.72,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 99}, {""subject"": ""Computer Networks"", ""score"": 87}, {""subject"": ""DBMS"", ""score"": 82}, {""subject"": ""Automata Theory"", ""score"": 94}]"
2023025124,Student 2023025124,2023025124,Paid,93,87.2,97,92,89,93,89,89,9.32,9.03,8.93,8.56,9.1,9.22,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 84}, {""subject"": ""Computer Networks"", ""score"": 90}, {""subject"": ""DBMS"", ""score"": 82}, {""subject"": ""Automata Theory"", ""score"": 93}]"
2023025125,Student 2023025125,2023025125,Paid,98,91.8,94,99,94,100,100,97,8.57,9.04,9.42,9.23,9.32,9.21,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 96}, {""subject"": ""Computer Networks"", ""score"": 88}, {""subject"": ""DBMS"", ""score"": 87}, {""subject"": ""Automata Theory"", ""score"": 96}]"
2023025126,Student 2023025126,2023025126,Paid,100,94.0,100,100,100,96,100,100,8.56,9.0,9.36,9.48,8.8,8.64,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 91}, {""subject"": ""Computer Networks"", ""score"": 97}, {""subject"": ""DBMS"", ""score"": 95}, {""subject"": ""Automata Theory"", ""score"": 93}]"
2023025127,Student 2023025127,2023025127,Paid,85,87.2,88,82,86,86,87,90,8.75,9.26,9.05,8.97,8.55,8.55,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 87}, {""subject"": ""Computer Networks"", ""score"": 82}, {""subject"": ""DBMS"", ""score"": 83}, {""subject"": ""Automata Theory"", ""score"": 97}]"
2023025128,Student 2023025128,2023025128,Paid,98,85.5,97,97,100,93,96,96,8.95,8.92,9.37,9.06,8.98,9.11,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 87}, {""subject"": ""Computer Networks"", ""score"": 81}, {""subject"": ""DBMS"", ""score"": 97}, {""subject"": ""Automata Theory"", ""score"": 77}]"
2023025129,Student 2023025129,2023025129,Paid,91,81.8,92,94,95,87,87,88,9.26,8.92,9.18,9.21,8.74,8.69,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 75}, {""subject"": ""Computer Networks"", ""score"": 91}, {""subject"": ""DBMS"", ""score"": 75}, {""subject"": ""Automata Theory"", ""score"": 86}]"
